"name","community","centrality","id"
"music","3",16,1
"good","4",9,2
"father","1",3,3
"like","5",3,4
"quiet","5",5,5
"laugh","1",5,6
"coffee","4",4,7
"travel","1",2,8
"child","1",9,9
"help","1",5,10
"mother","1",5,11
"fire","2",6,12
"party","1",8,13
"woman","1",7,14
"girl","1",10,15
"eat","4",7,16
"face","1",6,17
"life","1",7,18
"nature","2",4,19
"work","1",11,20
"friend","1",8,21
"light","2",8,22
"surprise","1",2,23
"play","3",5,24
"full","4",3,25
"nice","1",5,26
"game","3",5,27
"touch","2",6,28
"time","1",5,29
"warm","2",8,30
"hand","5",0,31
"garden","2",4,32
"food","4",30,33
"fun","1",18,34
"power","2",2,35
"study","3",5,36
"boat","2",2,37
"want","5",5,38
"school","3",8,39
"Christmas","5",5,40
"complete","5",3,41
"green","2",17,42
"need","5",4,43
"drink","4",7,44
"dinner","4",3,45
"water","2",14,46
"happy","1",21,47
"holiday","5",4,48
"cat","1",3,49
"book","3",9,50
"summer","2",4,51
"person","1",4,52
"love","1",27,53
"art","3",2,54
"sound","3",4,55
"man","1",9,56
"gift","5",2,57
"female","5",4,58
"knowledge","3",5,59
"football","5",1,60
"wet","2",4,61
"noise","3",2,62
"healthy","4",5,63
"smell","2",9,64
"women","5",2,65
"desire","5",3,66
"joy","1",5,67
"energy","2",3,68
"chocolate","4",5,69
"cooking","4",1,70
"male","5",3,71
"movie","3",5,72
"yummy","4",4,73
"emotion","5",4,74
"smile","1",10,75
"soft","2",6,76
"feeling","5",6,77
"alone","5",2,78
"flower","2",10,79
"pain","5",5,80
"perfume","2",3,81
"candy","4",1,82
"hurt","5",2,83
"peace","5",2,84
"song","3",1,85
"tasty","4",4,86
"sea","2",5,87
"sad","5",8,88
"fat","4",3,89
"friends","1",4,90
"taste","2",3,91
"beautiful","1",3,92
"beach","2",4,93
"happiness","1",3,94
"done","5",2,95
"finished","5",2,96
"trees","2",4,97
"flowers","2",6,98
"drugs","3",2,99
"books","3",5,100
